Product ID,SKU,Description
4627,ITS400-40,"Brown self-tie bow tie with a stylish herringbone pattern that is easy to match nicely with most outfits. The bow tie is sewn by hand in Italy from 70% wool and 30% silk and is a good choice for you who want the very best quality. Wool has a matte and warm color tone that is particularly suitable during autumn and winter. However, this bow tie is just as suitable to wear all year round. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4629,ITS400-42,"Navy Christmas self-tie bow tie with Santa Claus riding his reindeer through Christmas Eve to hand out Christmas gifts. A stylish Christmas motif that is guaranteed to spread a good Christmas atmosphere. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. The bow tie is made in Italy in the Como district which is known for having the best textile makers in the world. Sewn by hand in 100% silk fabric of the finest quality. Delivered in an elegant velvet pouch."
4630,ITS400-43,"Dark green Christmas self-tie bow tie with Santa Claus riding his reindeer through Christmas Eve to hand out Christmas gifts. A stylish Christmas motif that is guaranteed to spread a good Christmas atmosphere. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. The bow tie is made in Italy in the Como district which is known for having the best textile makers in the world. Sewn by hand in 100% silk fabric of the finest quality. Delivered in an elegant velvet pouch."
4631,ITS400-44,"Burgundy Christmas self-tie bow tie with Santa Claus riding his reindeer through Christmas Eve to hand out Christmas gifts. A stylish Christmas motif that is guaranteed to spread a good Christmas atmosphere. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. The bow tie is made in Italy in the Como district which is known for having the best textile makers in the world. Sewn by hand in 100% silk fabric of the finest quality. Delivered in an elegant velvet pouch."
4634,ITS400-47,"Dark brown self-tie bow tie with an elegant texture. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4635,ITS400-49,"Navy self-tie bow tie with an elegant paisley pattern. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4636,ITS400-50,"Burgundy self-tie bow tie with an elegant paisley pattern. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4637,ITS400-53,"Dark brown self-tie bow tie with an elegant paisley pattern. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4638,ITS400-56,"Orange self-tie bow tie with beautiful flowers as a motif. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4639,ITS400-57,"Light blue self-tie bow tie with beautiful flowers as a motif. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4640,ITS400-58,"Green self-tie bow tie with beautiful flowers as a motif. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4641,ITS400-59,"Navy self-tie bow tie with beautiful flowers as a motif. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4642,ITS400-62,"Brown self-tie bow tie with an elegant texture. The bow tie is sewn by hand in Italy from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process creates an extra soft silk fabric with a very luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4643,ITS400-65,"This self-tie silk bow tie is hand-made in Como, Italy, with focus on design and quality. The self tied bow tie is woven to get a grenadine texture making it sleek and elegant. This bow tie can be separated into two different parts; you can tie it around the neck and then adjust the band to remove it. It is great for those who find it difficult to tie a bow tie on their own. Simply get someone to help you tie it (either on you or themselves) and then you can adjust the bands to take the bow tie off without untying it and choose a length that sits perfectly on you. Delivered in an elegant velvet pouch."
4786,KW400-6,"Grey knitted wool bow tie crafted from raw quality wool. The knitted bow tie provides a sophisticated and relaxed look. Knitted with great care and precision. This wool bow tie is pre-tied and easy to fit around your neck with an adjustable neck strap. The wool fabric has a faded color tone, combined with a wool jacket it gives the ultimate preppy look during autumn and winter. Delivered in an elegant velvet pouch."
5683,NO-400-24,"The perfect self-tied bow tie for Germans or for those who just love Germany. Ideal for celebrating German Unity Day on October 3rd, or wear it to a sporting event to show support for your favourite German team. This sharp garment is hand-sewn and made without any middlemen getting in the way, meaning we can offer this top quality piece at an amazing price. Delivered in an elegant velvet pouch."
5809,P3400-6,"Blue dotted self-tie bow tie made of durable polyester. Polka dot bow ties fit most outfits and never go out of style. The bow tie is sewn by hand and maintains high quality despite its low price. Since we work completely without intermediaries, we can push prices. Adjustable strap around the neck that fits all neck measurements up to 51 cm in neck circumference. Delivered in an elegant velvet pouch."
5810,P3400-9,"Light blue dotted self-tie bow tie made of durable polyester. Polka dot bow ties fit most outfits and never go out of style. The bow tie is sewn by hand and maintains high quality despite its low price. Since we work completely without intermediaries, we can push prices. Adjustable strap around the neck that fits all neck measurements up to 51 cm in neck circumference. Delivered in an elegant velvet pouch."
5824,P400-114,"Cream gold bow tie made of polyester. With a focus on design and functionality, we have developed a bow tie that you tie on your own. Without intermediaries, we can offer low prices without compromising on quality. The widest part of the bow tie is 6 cm and it has an adjustable strap that fits all neck measurements up to a circumference of 51 cm. Delivered in an elegant velvet pouch."
5860,PA400-18,"Burgundy dotted braces that are attached to the buttons of the trousers, two leather straps at the front and one at the back. The suspenders are assembled by hand and made with care for the best quality. The straps and the triangle in the back are made of genuine leather. The elastic adjustable straps are made of durable polyester and have a width of 3.5 cm. The length is adjustable and fits everyone between 150-190 cm. 2 year warranty. Swedish design."
5943,PSLY400-224,This self-tie bow tie in an exclusive paisley pattern is made of 100% silk and is easily fastened around the neck with an adjustable buckle that fits all neck sizes up to a circumference of 51 cm. The bow tie is woven and made with meticulous care to maintain the highest quality. Comes in an elegant velvet pouch.
5984,S400-01,"White braces that are attached to the buttons of the trousers, two leather straps at the front and one at the back. The suspenders are assembled by hand and made with care for the best quality. The straps and the triangle in the back are made of genuine leather. The elastic adjustable straps are made of durable polyester and have a width of 3.5 cm. The length is adjustable and fits everyone between 150-190 cm. 2 year warranty. Swedish design."
5985,S400-09,"Navy braces that are attached to the buttons of the trousers, two leather straps at the front and one at the back. The suspenders are assembled by hand and made with care for the best quality. The straps and the triangle in the back are made of genuine leather. The elastic adjustable straps are made of durable polyester and have a width of 3.5 cm. The length is adjustable and fits everyone between 150-190 cm. 2 year warranty. Swedish design."
5987,S400-17,"Dark green braces that are attached to the buttons of the trousers, two leather straps at the front and one at the back. The suspenders are assembled by hand and made with care for the best quality. The straps and the triangle in the back are made of genuine leather. The elastic adjustable straps are made of durable polyester and have a width of 3.5 cm. The length is adjustable and fits everyone between 150-190 cm. 2 year warranty. Swedish design."
5988,S400-19,"Brown braces that are attached to the buttons of the trousers, two leather straps at the front and one at the back. The suspenders are assembled by hand and made with care for the best quality. The straps and the triangle in the back are made of genuine leather. The elastic adjustable straps are made of durable polyester and have a width of 3.5 cm. The length is adjustable and fits everyone between 150-190 cm. 2 year warranty. Swedish design."
5989,S400-40,"Red braces that are attached to the buttons of the trousers, two leather straps at the front and one at the back. The suspenders are assembled by hand and made with care for the best quality. The straps and the triangle in the back are made of genuine leather. The elastic adjustable straps are made of durable polyester and have a width of 3.5 cm. The length is adjustable and fits everyone between 150-190 cm. 2 year warranty. Swedish design."
6547,VE400-15-1,"Self-tie bow tie with a discreet and elegant design that makes it perfect for weddings and other formal occasions. Hand sewn from high quality polyester fabric that guarantees long durability. Fits all neck sizes up to 51 cm in circumference, the length around the neck can be adjusted with an adjustable strap. Comes in an elegant velvet pouch. Swedish design."
6548,VE400-18,"Black self tie bow tie with a smooth surface that gives a beautiful shine. Well-thought-out construction gives it a nice shape when tied, the ends of the bow tie are 6 cm wide. Adjustable strap around the neck makes it fit most collar sizes. The bow tie is made of polyester but is indistinguishable from a real black silk bow tie. Sewn by hand without intermediaries. Swedish design. A very affordable black untied bow tie. Delivered in an elegant velvet pouch."
