Display Name,Display name - nl,Display name - fr,Display name - es,Display name - it,Display name - pt,Display name - cz,Display name - hu,Display name - ro,Display name - pl,Display name - bg,Display name - hr,Display name - gr,Display name - sk
Green Christmas tie Rudolf,Groene kerststropdas Rudolf,Cravate verte de Noël Rudolf,Corbata navideña verde con Rudolf,Cravatta natalizia verde con Rudolf,Gravata verde de Natal com Rudolf,Zelená vánoční kravata Rudolf,Zöld karácsonyi nyakkendő Rudolf,Cravată verde de Crăciun Rudolf,"Raderad, men klar ",Зелена коледна вратовръзка Рудолф,Zelena božićna kravata Rudolf,Πράσινη χριστουγεννιάτικη γραβάτα Ρούντολφ,Zelená vianočná kravata Rudolf
Navy & silver striped tie,Marineblauw & zilver gestreepte stropdas,Cravate rayée bleu marine & argent,Corbata rayada azul marino y plata,Cravatta a righe blu navy e argento,Gravata listrada azul marinho e prata,Námořnická a stříbrná pruhovaná kravata,Tengerészkék és ezüst csíkos nyakkendő,Cravată bleumarin cu dungi argintii,"Raderad, men klar ",Тъмносиня вратовръзка на сребристи райета,Tamnoplava kravata s prugama u srebrnoj boji,Ριγέ γραβάτα μπλε ναυτική και ασημί,Námornícka a strieborná pruhovaná kravata
Purple dotted tie Lago,Paarse stropdas met stippen Lago,Cravate violette à pois Lago,Corbata morada con lunares Lago,Cravatta viola a pois Lago,Gravata roxa com bolinhas Lago,Fialová kravata s puntíky Lago,Lila pöttyös nyakkendő Lago,Cravată mov cu buline Lago,"Raderad, men klar ",Лилава вратовръзка на точки Лаго,Ljubičasta kravata s točkicama Lago,Μωβ γραβάτα με πουά Lago,Fialová kravata s bodkami Lago
Green tie Herringbone,Groene stropdas visgraat,Cravate verte en chevrons,Corbata verde espigada,Cravatta verde a spina di pesce,Gravata verde espinha de peixe,Zelená kravata s rybí kostí,Zöld halszálkás nyakkendő,Cravată verde cu model chevron,"Raderad, men klar ",Зелена вратовръзка на рибена кост,Zelena kravata s riblja kost uzorkom,Πράσινη γραβάτα σε σχήμα ψαροκόκαλου,Zelená kravata so vzorom rybej kosti
Navy tie Sailboats,Marineblauwe stropdas met zeilboten,Cravate bleu marine avec voiliers,Corbata azul marino con veleros,Cravatta blu navy con barche a vela,Gravata azul marinho com veleiros,Námořnická kravata s plachetnicemi,Tengerészkék nyakkendő vitorlásokkal,Cravată bleumarin cu bărci cu pânze,"Raderad, men klar ",Тъмносиня вратовръзка с ветроходки,Tamnoplava kravata s jedrilicama,Μπλε ναυτική γραβάτα με ιστιοφόρα,Námornícka modrá kravata s plachetnicami
Orange tie Basic,Oranje stropdas Basic,Cravate orange Basic,Corbata naranja básica,Cravatta arancione Basic,Gravata laranja básica,Oranžová kravata Basic,Narancssárga nyakkendő Basic,Cravată portocalie Basic,"Raderad, men klar ",Оранжева вратовръзка Basic,Narančasta kravata Basic,Πορτοκαλί γραβάτα Basic,Oranžová kravata Basic
Skinny navy tie damask,Smalle marineblauwe stropdas damast,Cravate étroite bleu marine damassée,Corbata estrecha azul marino con damasco,Cravatta stretta blu navy damascata,Gravata estreita azul marinho adamascada,Úzká námořnická kravata s damaskovým vzorem,Keskeny tengerészkék damaszt nyakkendő,Cravată îngustă bleumarin damascată,"Raderad, men klar ",Тясна тъмносиня вратовръзка с дамаска,Uska tamnoplava kravata s damask uzorkom,Στενή μπλε ναυτική γραβάτα με νταμασκηνό σχέδιο,Úzka námornícka modrá kravata s damaskovým vzorom
Boys burgundy dotted tie,Bordeauxrode stropdas met stippen voor jongens,Cravate bordeaux à pois pour garçons,Corbata burdeos con lunares para niños,Cravatta bordeaux a pois per bambini,Gravata bordô com bolinhas para crianças,Bordová kravata s puntíky pro chlapce,Fiú bordó pöttyös nyakkendő,Cravată burgundy cu buline pentru băieți,"Raderad, men klar ",Бордо вратовръзка на точки за момчета,Dječja bordo kravata s točkicama,Μπορντό γραβάτα με πουά για αγόρια,Chlapčenská bordová kravata s bodkami
Extra light pink tie,Extra lichtroze stropdas,Cravate rose pâle extra,Corbata rosa claro extra,Cravatta rosa chiaro extra,Gravata rosa claro extra,Extra světle růžová kravata,Extra világos rózsaszín nyakkendő,Cravată roz deschis extra,"Raderad, men klar ",Екстра светлорозова вратовръзка,Ekstra svijetloružičasta kravata,Πολύ ανοιχτή ροζ γραβάτα,Extra svetloružová kravata
Skinny dark purple tie,Smalle donkerpaarse stropdas,Cravate étroite violet foncé,Corbata estrecha morado oscuro,Cravatta stretta viola scuro,Gravata estreita roxo escuro,Úzká tmavě fialová kravata,Keskeny sötétlila nyakkendő,Cravată îngustă mov închis,"Raderad, men klar ",Тясна тъмно лилава вратовръзка,Uska tamnoljubičasta kravata,Στενή σκούρα μωβ γραβάτα,Úzka tmavo fialová kravata
